"","Sample.ID","Database.Schema.Definitions.Url","Latitude","Longitude","LandUse","LanduseID"
"97","SampleID.102.100.100.138402","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.97245,116.48289,"1 Conservation and natural environments",1
"98","SampleID.102.100.100.138404","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.97165,116.48354,"1 Conservation and natural environments",1
"99","SampleID.102.100.100.138406","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.99188,116.48699,"1 Conservation and natural environments",1
"100","SampleID.102.100.100.138408","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.85854,115.30685,"1 Conservation and natural environments",1
"101","SampleID.102.100.100.138410","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.85744,115.30768,"1 Conservation and natural environments",1
"102","SampleID.102.100.100.138412","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.90079,115.30451,"1 Conservation and natural environments",1
"103","SampleID.102.100.100.138418","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.91182,115.29352,"1 Conservation and natural environments",1
"104","SampleID.102.100.100.138424","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.92179,115.28249,"1 Conservation and natural environments",1
"105","SampleID.102.100.100.138426","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.92265,115.27987,"1 Conservation and natural environments",1
"106","SampleID.102.100.100.138428","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.93926,115.28059,"1 Conservation and natural environments",1
"107","SampleID.102.100.100.138430","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.94226,115.27763,"1 Conservation and natural environments",1
"108","SampleID.102.100.100.138432","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.93523,115.27332,"1 Conservation and natural environments",1
"109","SampleID.102.100.100.138434","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.9337,115.2729,"1 Conservation and natural environments",1
"110","SampleID.102.100.100.138436","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.92973,115.27376,"1 Conservation and natural environments",1
"111","SampleID.102.100.100.138438","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.93275,115.26441,"1 Conservation and natural environments",1
"112","SampleID.102.100.100.138444","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.85698,115.26823,"1 Conservation and natural environments",1
"113","SampleID.102.100.100.138448","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.87432,115.27285,"1 Conservation and natural environments",1
"114","SampleID.102.100.100.138450","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.8739,115.27433,"1 Conservation and natural environments",1
"115","SampleID.102.100.100.138452","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.86594,115.26273,"1 Conservation and natural environments",1
"116","SampleID.102.100.100.138454","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.88762,115.25452,"1 Conservation and natural environments",1
"117","SampleID.102.100.100.138456","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.88568,115.2714,"1 Conservation and natural environments",1
"118","SampleID.102.100.100.138458","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.88615,115.26952,"1 Conservation and natural environments",1
"119","SampleID.102.100.100.138460","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.89009,115.27662,"1 Conservation and natural environments",1
"120","SampleID.102.100.100.138462","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.89772,115.26917,"1 Conservation and natural environments",1
"121","SampleID.102.100.100.138464","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.90438,115.26154,"1 Conservation and natural environments",1
"122","SampleID.102.100.100.138466","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.90391,115.27548,"1 Conservation and natural environments",1
"123","SampleID.102.100.100.138468","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.91854,115.26772,"1 Conservation and natural environments",1
"124","SampleID.102.100.100.138470","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.91134,115.27269,"1 Conservation and natural environments",1
"125","SampleID.102.100.100.138472","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-29.89748,115.28455,"1 Conservation and natural environments",1
"126","SampleID.102.100.100.138478","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.67798,115.44641,"1 Conservation and natural environments",1
"127","SampleID.102.100.100.138480","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.64672,115.45245,"1 Conservation and natural environments",1
"128","SampleID.102.100.100.138488","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.61996,115.41,"1 Conservation and natural environments",1
"129","SampleID.102.100.100.138492","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.60529,115.41977,"1 Conservation and natural environments",1
"130","SampleID.102.100.100.138494","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.60574,115.42203,"1 Conservation and natural environments",1
"131","SampleID.102.100.100.138496","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.60777,115.41846,"1 Conservation and natural environments",1
"132","SampleID.102.100.100.138498","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.61263,115.41402,"1 Conservation and natural environments",1
"133","SampleID.102.100.100.138500","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.60292,115.4061,"1 Conservation and natural environments",1
"134","SampleID.102.100.100.138502","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.64429,115.39895,"1 Conservation and natural environments",1
"135","SampleID.102.100.100.138504","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.64395,115.39967,"1 Conservation and natural environments",1
"136","SampleID.102.100.100.138506","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.65125,115.40819,"1 Conservation and natural environments",1
"137","SampleID.102.100.100.138508","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.65989,115.41766,"1 Conservation and natural environments",1
"138","SampleID.102.100.100.138612","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.67152,115.42662,"1 Conservation and natural environments",1
"139","SampleID.102.100.100.13892","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.60827,138.2613,"1 Conservation and natural environments",1
